Date,Name,Marketcap,PostDate,PostMarketcap,Change
2020-01-10,Stellar,926865626.9255,2020-01-11,949740467.8026,2.468
2020-01-10,Tether,4632826679.1797,2020-01-11,4626484304.578,0.1369
2020-01-10,TRON,974492901.899,2020-01-11,974520532.4825,0.0028
2020-01-10,USD Coin,444501900.1953,2020-01-11,447244753.9746,0.6171
2020-01-10,Wrapped Bitcoin,4846847.2753,2020-01-11,4794662.0409,1.0767
2020-01-10,XRP,9206907568.8581,2020-01-11,9187177374.9496,0.2143
2020-01-14,Binance Coin,2585972298.7651,2020-01-15,2745971387.8399,6.1872
2020-01-14,Bitcoin,160319484882.901,2020-01-15,159959191211.678,0.2247
2020-01-14,Cardano,1080110770.0594,2020-01-15,1103270947.2727,2.1442
2020-01-14,Chainlink,836474276.19,2020-01-15,841742041.35,0.6298
2020-01-14,Cosmos,865707914.1154,2020-01-15,871045052.0442,0.6165
2020-01-14,Crypto.com Coin,568272781.408,2020-01-15,593685587.1124,4.4719
2020-01-14,Dogecoin,303552342.2097,2020-01-15,291129905.0633,4.0924
2020-01-14,EOS,3634155841.992,2020-01-15,3576523316.1411,1.5859
2020-01-14,Ethereum,18135588270.9266,2020-01-15,18167930410.6557,0.1783
2020-01-14,IOTA,584569640.2429,2020-01-15,645255195.2421,10.3812
2020-01-14,Litecoin,3734400000.3941,2020-01-15,3707655222.5875,0.7162
2020-01-14,Monero,1093113235.0723,2020-01-15,1189205048.5453,8.7907
2020-01-14,NEM,324599984.2124,2020-01-15,334695698.4444,3.1102
2020-01-14,Stellar,1041718995.5977,2020-01-15,1095162182.5384,5.1303
2020-01-14,Tether,4635105702.5418,2020-01-15,4631431379.6353,0.0793
2020-01-14,TRON,1114931863.1998,2020-01-15,1152526478.7577,3.3719
2020-01-14,USD Coin,428644820.76,2020-01-15,446693203.0191,4.2106
2020-01-14,Wrapped Bitcoin,5333480.6116,2020-01-15,5314031.6941,0.3647
2020-01-14,XRP,10244977874.5566,2020-01-15,10166738989.309,0.7637
2020-01-15,Binance Coin,2745971387.8399,2020-01-16,2656091975.1163,3.2731
2020-01-15,Bitcoin,159959191211.678,2020-01-16,158465055984.185,0.9341
2020-01-15,Cardano,1103270947.2727,2020-01-16,1073150539.9899,2.7301
2020-01-15,Chainlink,841742041.35,2020-01-16,869567504.7255,3.3057
2020-01-15,Cosmos,871045052.0442,2020-01-16,967992097.5211,11.13
2020-01-15,Crypto.com Coin,593685587.1124,2020-01-16,601738282.1301,1.3564
2020-01-15,Dogecoin,291129905.0633,2020-01-16,288233512.7029,0.9949
2020-01-15,EOS,3576523316.1411,2020-01-16,3636545243.796,1.6782
2020-01-15,Ethereum,18167930410.6557,2020-01-16,17969103320.7762,1.0944
2020-01-15,IOTA,645255195.2421,2020-01-16,633117786.8481,1.881
2020-01-15,Litecoin,3707655222.5875,2020-01-16,3680300934.2034,0.7378
2020-01-15,Monero,1189205048.5453,2020-01-16,1143043008.8008,3.8818
2020-01-15,NEM,334695698.4444,2020-01-16,329475463.8591,1.5597
2020-01-15,Stellar,1095162182.5384,2020-01-16,1074496622.2957,1.887
2020-01-15,Tether,4631431379.6353,2020-01-16,4633460370.1704,0.0438
2020-01-15,TRON,1152526478.7577,2020-01-16,1141554643.0735,0.952
2020-01-15,USD Coin,446693203.0191,2020-01-16,445192682.2063,0.3359
2020-01-15,Wrapped Bitcoin,5314031.6941,2020-01-16,5257368.541,1.0663
2020-01-15,XRP,10166738989.309,2020-01-16,9978103123.3478,1.8554
2020-01-16,Binance Coin,2656091975.1163,2020-01-17,2820689254.9704,6.197
2020-01-16,Bitcoin,158465055984.185,2020-01-17,162211148777.656,2.364
2020-01-16,Cardano,1073150539.9899,2020-01-17,1166155737.351,8.6666
2020-01-16,Chainlink,869567504.7255,2020-01-17,953438175.522,9.6451
2020-01-16,Cosmos,967992097.5211,2020-01-17,953671093.25,1.4795
2020-01-16,Crypto.com Coin,601738282.1301,2020-01-17,616071499.8942,2.382
2020-01-16,Dogecoin,288233512.7029,2020-01-17,306098384.4081,6.1981
2020-01-16,EOS,3636545243.796,2020-01-17,3723425925.7526,2.3891
2020-01-16,Ethereum,17969103320.7762,2020-01-17,18669811575.9153,3.8995
2020-01-16,IOTA,633117786.8481,2020-01-17,664366664.7908,4.9357
2020-01-16,Litecoin,3680300934.2034,2020-01-17,3927821846.141,6.7256
2020-01-16,Monero,1143043008.8008,2020-01-17,1203980723.0493,5.3312
2020-01-16,NEM,329475463.8591,2020-01-17,360125741.0111,9.3027
2020-01-16,Stellar,1074496622.2957,2020-01-17,1200675456.5771,11.7431
2020-01-16,Tether,4633460370.1704,2020-01-17,4650379638.0087,0.3652
2020-01-16,TRON,1141554643.0735,2020-01-17,1177998610.0378,3.1925
2020-01-16,USD Coin,445192682.2063,2020-01-17,438515036.7871,1.4999
2020-01-16,Wrapped Bitcoin,5257368.541,2020-01-17,5342891.7277,1.6267
2020-01-16,XRP,9978103123.3478,2020-01-17,10423473279.5092,4.4635
2020-01-17,Binance Coin,2820689254.9704,2020-01-18,2772273816.7486,1.7164
2020-01-17,Bitcoin,162211148777.656,2020-01-18,162475965880.12,0.1633
2020-01-17,Cardano,1166155737.351,2020-01-18,1162863288.8062,0.2823
2020-01-17,Chainlink,953438175.522,2020-01-18,970936771.2485,1.8353
2020-01-17,Cosmos,953671093.25,2020-01-18,883526140.5266,7.3553
2020-01-17,Crypto.com Coin,616071499.8942,2020-01-18,618421583.7469,0.3815
2020-01-17,Dogecoin,306098384.4081,2020-01-18,308242054.7261,0.7003
2020-01-17,EOS,3723425925.7526,2020-01-18,3623635638.4375,2.6801
2020-01-17,Ethereum,18669811575.9153,2020-01-18,19173512822.9137,2.6979
2020-01-17,IOTA,664366664.7908,2020-01-18,687163086.0361,3.4313
2020-01-17,Litecoin,3927821846.141,2020-01-18,3795493154.2594,3.369
2020-01-17,Monero,1203980723.0493,2020-01-18,1169497764.1994,2.8641
2020-01-17,NEM,360125741.0111,2020-01-18,351670318.1258,2.3479
2020-01-17,Stellar,1200675456.5771,2020-01-18,1225443375.6272,2.0628
2020-01-17,Tether,4650379638.0087,2020-01-18,4649919501.7599,0.0099
2020-01-17,TRON,1177998610.0378,2020-01-18,1181324709.8715,0.2824
2020-01-17,USD Coin,438515036.7871,2020-01-18,440548198.6283,0.4636
2020-01-17,Wrapped Bitcoin,5342891.7277,2020-01-18,5386315.3537,0.8127
2020-01-17,XRP,10423473279.5092,2020-01-18,10620350242.0774,1.8888
2020-01-21,Binance Coin,2819517646.341,2020-01-22,2768298454.5076,1.8166
2020-01-21,Bitcoin,158947996833.847,2020-01-22,157783273070.101,0.7328
2020-01-21,Cardano,1192372176.1638,2020-01-22,1183664601.3128,0.7303
2020-01-21,Chainlink,935742614.0335,2020-01-22,925953608.125,1.0461
2020-01-21,Cosmos,886592072.0101,2020-01-22,887094361.9432,0.0567
2020-01-21,Crypto.com Coin,622597062.4915,2020-01-22,633817774.358,1.8022
2020-01-21,Dogecoin,292280593.381,2020-01-22,285795825.0876,2.2187
2020-01-21,EOS,3478981375.7027,2020-01-22,3467325836.6186,0.335
2020-01-21,Ethereum,18560711557.1284,2020-01-22,18409534609.4783,0.8145
2020-01-21,IOTA,696016145.9627,2020-01-22,693707306.5244,0.3317
2020-01-21,Litecoin,3684221719.3807,2020-01-22,3729779086.2072,1.2366
2020-01-21,Monero,1148429767.9904,2020-01-22,1132354077.6248,1.3998
2020-01-21,NEM,344062165.5275,2020-01-22,388614934.6623,12.949
2020-01-21,Stellar,1251502830.1049,2020-01-22,1201010415.2756,4.0345
2020-01-21,Tether,4648951979.4221,2020-01-22,4645128570.1402,0.0822
2020-01-21,TRON,1154150116.7793,2020-01-22,1157163890.3232,0.2611
2020-01-21,USD Coin,441024990.4138,2020-01-22,452956643.9851,2.7054
2020-01-21,Wrapped Bitcoin,5466966.444,2020-01-22,5398090.0692,1.2599
2020-01-21,XRP,10358425747.4093,2020-01-22,10309942099.8936,0.4681
2020-01-22,Binance Coin,2768298454.5076,2020-01-23,2647453374.7918,4.3653
2020-01-22,Bitcoin,157783273070.101,2020-01-23,152813329632.858,3.1499
2020-01-22,Cardano,1183664601.3128,2020-01-23,1123513003.9048,5.0818
2020-01-22,Chainlink,925953608.125,2020-01-23,861738068.3345,6.9351
2020-01-22,Cosmos,887094361.9432,2020-01-23,847521480.8791,4.461
2020-01-22,Crypto.com Coin,633817774.358,2020-01-23,613645367.6728,3.1827
2020-01-22,Dogecoin,285795825.0876,2020-01-23,278962447.8088,2.391
2020-01-22,EOS,3467325836.6186,2020-01-23,3395646927.5316,2.0673
2020-01-22,Ethereum,18409534609.4783,2020-01-23,17824835899.2751,3.1761
2020-01-22,IOTA,693707306.5244,2020-01-23,654318669.7694,5.678
2020-01-22,Litecoin,3729779086.2072,2020-01-23,3492096602.2256,6.3726
2020-01-22,Monero,1132354077.6248,2020-01-23,1088895964.7847,3.8379
2020-01-22,NEM,388614934.6623,2020-01-23,355248003.1069,8.5861
2020-01-22,Stellar,1201010415.2756,2020-01-23,1188095062.9818,1.0754
2020-01-22,Tether,4645128570.1402,2020-01-23,4634979848.9598,0.2185
2020-01-22,TRON,1157163890.3232,2020-01-23,1083772061.5935,6.3424
2020-01-22,USD Coin,452956643.9851,2020-01-23,444027176.4727,1.9714
2020-01-22,Wrapped Bitcoin,5398090.0692,2020-01-23,5264040.5945,2.4833
2020-01-22,XRP,10309942099.8936,2020-01-23,9875297162.3415,4.2158
2020-01-23,Binance Coin,2647453374.7918,2020-01-24,2651498155.9763,0.1528
2020-01-23,Bitcoin,152813329632.858,2020-01-24,153536829768.103,0.4735
2020-01-23,Cardano,1123513003.9048,2020-01-24,1166815356.1351,3.8542
2020-01-23,Chainlink,861738068.3345,2020-01-24,876536362.905,1.7173
2020-01-23,Cosmos,847521480.8791,2020-01-24,855148281.7261,0.8999
2020-01-23,Crypto.com Coin,613645367.6728,2020-01-24,616352520.4233,0.4412
2020-01-23,Dogecoin,278962447.8088,2020-01-24,280006237.4209,0.3742
2020-01-23,EOS,3395646927.5316,2020-01-24,3460887408.9563,1.9213
2020-01-23,Ethereum,17824835899.2751,2020-01-24,17840465424.1492,0.0877
2020-01-23,IOTA,654318669.7694,2020-01-24,658962315.7016,0.7097
2020-01-23,Litecoin,3492096602.2256,2020-01-24,3486182447.2028,0.1694
2020-01-23,Monero,1088895964.7847,2020-01-24,1075604863.5791,1.2206
2020-01-23,NEM,355248003.1069,2020-01-24,355474755.3178,0.0638
2020-01-23,Stellar,1188095062.9818,2020-01-24,1149419046.6621,3.2553
2020-01-23,Tether,4634979848.9598,2020-01-24,4656155507.2812,0.4569
2020-01-23,TRON,1083772061.5935,2020-01-24,1094331822.5763,0.9744
2020-01-23,USD Coin,444027176.4727,2020-01-24,444875789.1535,0.1911
2020-01-23,Wrapped Bitcoin,5264040.5945,2020-01-24,5292215.7923,0.5352
2020-01-23,XRP,9875297162.3415,2020-01-24,9741530849.0644,1.3546
2020-01-27,Binance Coin,2751653009.271,2020-01-28,2817568636.1501,2.3955
2020-01-27,Bitcoin,162027957434.616,2020-01-28,170205617954.856,5.0471
2020-01-27,Cardano,1242217391.3451,2020-01-28,1370415129.4208,10.3201
2020-01-27,Chainlink,913378197.6235,2020-01-28,929368526.9505,1.7507
2020-01-27,Cosmos,861473072.6098,2020-01-28,874619277.334,1.526
2020-01-27,Crypto.com Coin,652267960.3113,2020-01-28,696455551.7474,6.7745
2020-01-27,Dogecoin,291399495.3988,2020-01-28,301513932.9724,3.471
2020-01-27,EOS,3767795939.9804,2020-01-28,3851064835.1757,2.21
2020-01-27,Ethereum,18709615890.943,2020-01-28,19307396128.3943,3.195
2020-01-27,IOTA,698491574.0914,2020-01-28,794060378.411,13.6822
2020-01-27,Litecoin,3758010753.3698,2020-01-28,3880511637.3788,3.2597
2020-01-27,Monero,1142390785.1168,2020-01-28,1179711127.6557,3.2669
2020-01-27,NEM,365481137.9339,2020-01-28,371099962.226,1.5374
2020-01-27,Stellar,1196397983.1513,2020-01-28,1209732371.8722,1.1145
2020-01-27,Tether,4651188602.1281,2020-01-28,4645895398.7573,0.1138
2020-01-27,TRON,1142590062.7793,2020-01-28,1241244747.3669,8.6343
2020-01-27,USD Coin,449464491.1515,2020-01-28,452031882.6599,0.5712
2020-01-27,Wrapped Bitcoin,5587230.0666,2020-01-28,5865645.1012,4.9831
2020-01-27,XRP,10098829102.6944,2020-01-28,10418484690.0814,3.1653
2020-01-28,Binance Coin,2817568636.1501,2020-01-29,2786094248.0293,1.1171
2020-01-28,Bitcoin,170205617954.856,2020-01-29,169460984603.208,0.4375
2020-01-28,Cardano,1370415129.4208,2020-01-29,1387454345.9001,1.2434
2020-01-28,Chainlink,929368526.9505,2020-01-29,974863478.6205,4.8953
2020-01-28,Cosmos,874619277.334,2020-01-29,841480724.0277,3.7889
2020-01-28,Crypto.com Coin,696455551.7474,2020-01-29,693791249.8764,0.3826
2020-01-28,Dogecoin,301513932.9724,2020-01-29,294177531.6744,2.4332
2020-01-28,EOS,3851064835.1757,2020-01-29,3782949471.4028,1.7687
2020-01-28,Ethereum,19307396128.3943,2020-01-29,19165292202.1875,0.736
2020-01-28,IOTA,794060378.411,2020-01-29,842299718.996,6.075
2020-01-28,Litecoin,3880511637.3788,2020-01-29,3842950242.1089,0.9679
2020-01-28,Monero,1179711127.6557,2020-01-29,1220220166.0958,3.4338
