Date,Name,High,PostDate,PostHigh,Change
2020-01-14,TRON,0.0169,2020-01-15,0.0181,7.1006
2020-01-14,USD Coin,1.0195,2020-01-15,1.027,0.7357
2020-01-14,Wrapped Bitcoin,8981.5064,2020-01-15,8966.5043,0.167
2020-01-14,XRP,0.2418,2020-01-15,0.241,0.3309
2020-01-15,Binance Coin,18.0963,2020-01-16,17.6608,2.4066
2020-01-15,Bitcoin,8890.1174,2020-01-16,8846.4611,0.4911
2020-01-15,Cardano,0.043,2020-01-16,0.0431,0.2326
2020-01-15,Chainlink,2.5679,2020-01-16,2.5003,2.6325
2020-01-15,Cosmos,4.9308,2020-01-16,5.2006,5.4717
2020-01-15,Crypto.com Coin,0.0458,2020-01-16,0.0462,0.8734
2020-01-15,Dogecoin,0.0025,2020-01-16,0.0024,4.0
2020-01-15,EOS,3.9128,2020-01-16,3.8838,0.7412
2020-01-15,Ethereum,170.4257,2020-01-16,167.0581,1.976
2020-01-15,IOTA,0.2323,2020-01-16,0.2334,0.4735
2020-01-15,Litecoin,59.923,2020-01-16,58.3021,2.705
2020-01-15,Monero,68.8251,2020-01-16,68.7981,0.0392
2020-01-15,NEM,0.0379,2020-01-16,0.0377,0.5277
2020-01-15,Stellar,0.0555,2020-01-16,0.055,0.9009
2020-01-15,Tether,1.0225,2020-01-16,1.0112,1.1051
2020-01-15,TRON,0.0181,2020-01-16,0.0173,4.4199
2020-01-15,USD Coin,1.027,2020-01-16,1.0074,1.9085
2020-01-15,Wrapped Bitcoin,8966.5043,2020-01-16,8875.4851,1.0151
2020-01-15,XRP,0.241,2020-01-16,0.2336,3.0705
2020-01-16,Binance Coin,17.6608,2020-01-17,18.3618,3.9692
2020-01-16,Bitcoin,8846.4611,2020-01-17,8958.122,1.2622
2020-01-16,Cardano,0.0431,2020-01-17,0.0457,6.0325
2020-01-16,Chainlink,2.5003,2020-01-17,2.8369,13.4624
2020-01-16,Cosmos,5.2006,2020-01-17,5.2907,1.7325
2020-01-16,Crypto.com Coin,0.0462,2020-01-17,0.0472,2.1645
2020-01-16,Dogecoin,0.0024,2020-01-17,0.0025,4.1667
2020-01-16,EOS,3.8838,2020-01-17,4.0548,4.4029
2020-01-16,Ethereum,167.0581,2020-01-17,173.0692,3.5982
2020-01-16,IOTA,0.2334,2020-01-17,0.2561,9.7258
2020-01-16,Litecoin,58.3021,2020-01-17,62.8895,7.8683
2020-01-16,Monero,68.7981,2020-01-17,71.9284,4.55
2020-01-16,NEM,0.0377,2020-01-17,0.0448,18.8329
2020-01-16,Stellar,0.055,2020-01-17,0.0628,14.1818
2020-01-16,Tether,1.0112,2020-01-17,1.0141,0.2868
2020-01-16,TRON,0.0173,2020-01-17,0.0181,4.6243
2020-01-16,USD Coin,1.0074,2020-01-17,1.0065,0.0893
2020-01-16,Wrapped Bitcoin,8875.4851,2020-01-17,9036.3213,1.8121
2020-01-16,XRP,0.2336,2020-01-17,0.2432,4.1096
2020-01-17,Binance Coin,18.3618,2020-01-18,18.3145,0.2576
2020-01-17,Bitcoin,8958.122,2020-01-18,9012.1981,0.6037
2020-01-17,Cardano,0.0457,2020-01-18,0.0455,0.4376
2020-01-17,Chainlink,2.8369,2020-01-18,2.7886,1.7026
2020-01-17,Cosmos,5.2907,2020-01-18,5.0024,5.4492
